product_id,product_name,category
201,Product_201,Toys
202,Product_202,Toys
203,Product_203,Electronics
204,Product_204,Sports
205,Product_205,Clothing
206,Product_206,Toys
207,Product_207,Electronics
208,Product_208,Home
209,Product_209,Electronics
210,Product_210,Home
211,Product_211,Sports
212,Product_212,Clothing
213,Product_213,Electronics
214,Product_214,Toys
215,Product_215,Sports
216,Product_216,Electronics
217,Product_217,Toys
218,Product_218,Electronics
219,Product_219,Home
220,Product_220,Electronics
221,Product_221,Electronics
222,Product_222,Electronics
223,Product_223,Sports
224,Product_224,Electronics
225,Product_225,Toys
226,Product_226,Home
227,Product_227,Home
228,Product_228,Electronics
229,Product_229,Sports
230,Product_230,Sports
231,Product_231,Toys
232,Product_232,Electronics
233,Product_233,Home
234,Product_234,Sports
235,Product_235,Electronics
236,Product_236,Sports
237,Product_237,Sports
238,Product_238,Home
239,Product_239,Clothing
240,Product_240,Toys
241,Product_241,Toys
242,Product_242,Home
243,Product_243,Sports
244,Product_244,Electronics
245,Product_245,Sports
246,Product_246,Home
247,Product_247,Toys
248,Product_248,Sports
249,Product_249,Toys
250,Product_250,Electronics
